Puzzle,Model,Time,Correct
.............7.1...293.....3..1.4.5....6..47.85........6.7.12....8..2.9..9.....45,Constraint Programming Solver,13.9314ms,true
.............8..71..1..9..2........4..9.3.6...586.2..3.....6....65....981..72..4.,Constraint Programming Solver,13.3461ms,true
.............87...78...32.4..........3...68.55..1...69..5.....7..9.4...3.219...5.,Constraint Programming Solver,13.2045ms,true
.............9..3..46..8..2.5...4...6.....4.9..7.2.8.5....3....914....2.8....27.6,Constraint Programming Solver,13.5442ms,true
.............9..368..1.54...4..6...5.21........8...374....27.....951..2....8..7..,Constraint Programming Solver,12.7867ms,true
.............9.41..35..1..6.....2..5....6....34....6.7....8...2.24.......8.1..973,Constraint Programming Solver,17.4241ms,true
.............96..7...5..183.....5.....7.1.....93..864...5...........92..21.36.79.,Constraint Programming Solver,117.1035ms,true
............1....52...67.....6.3..4..8........5...2.1..7398.2......2.5..91...4..3,Constraint Programming Solver,15.1268ms,true
............1.3.4245...21.7....5......9......82..3..9.........8.4..71....18...423,Constraint Programming Solver,16.1493ms,true
............1.7.6.268..45............4......2...278.36........7.91.25.....49..61.,Constraint Programming Solver,14.1311ms,true
............1284...5....31.1..5.4.69.89...53.53.9.7..4.17....9...5673............,Constraint Programming Solver,65.8081ms,true
............13...94.9.6.37.....2.58.2.8...6.3.5478.....63.9.1.29...53............,Constraint Programming Solver,13.6792ms,true
............2...45..8.7.21......6.9..518.247..2.1......67.4.8..94...1............,Constraint Programming Solver,13.6295ms,true
............3..176.89..4.3.5.7.23..4.........4..56.3.7.2.8..51.641..27...........,Constraint Programming Solver,13.991ms,true
............542....968..3...........7.2...6.4.8.9642..........6......4791.8..7..3,Constraint Programming Solver,14.3995ms,true
............672.8..85..4....7............6.9.5..9..63.2.......5.5.7..1.8..6..9..2,Constraint Programming Solver,15.17ms,true
............7.231..9..1.5.4.......3...9..8..583..5.24...5.........3...6898...7...,Constraint Programming Solver,85.0134ms,true
............826.....8.1.34............5..3.7..7...95.2.6.....2...4.3.....53.6.417,Constraint Programming Solver,88.2084ms,true
............9.2..6.3..87..2........9.72..9.6...5.43.7............85..9..4...163.5,Constraint Programming Solver,13.4124ms,true
............95.47.....1..63.3........7.2..1..4.6....32...........8..3..529.186...,Constraint Programming Solver,13.4634ms,true
...........1.6.5..7.5...69..4.......8....3..9....19..2...........7.9..246.9.2..83,Constraint Programming Solver,13.8875ms,true
...........1.64..2....5.7.9.9........8...5...1.4..6253.........6....194....8.2.16,Constraint Programming Solver,14.2158ms,true
...........1.782..95...3..........6...4.2....5.9...1.3.....2....27.8...56...45.3.,Constraint Programming Solver,13.2495ms,true
...........192....87.5..2.3......8..5.6.....1.8....73.....37.....5..14...2.8...67,Constraint Programming Solver,14.0512ms,true
...........2....4....9.2.51.........8..754.....4...368.............7.18.9182.6..7,Constraint Programming Solver,13.4059ms,true
...........2....5...834.69...........39..5....8..7..34...........6832..754..613..,Constraint Programming Solver,16.7831ms,true
...........2....8..4.1.2.......5.....9...84..186.9.3........9..9..475..35.7.8.2..,Constraint Programming Solver,95.5742ms,true
...........2....9..5.976.32.............2...582..31.69...........1.8.5.74.67....1,Constraint Programming Solver,108.7619ms,true
...........2..36.84....6.21.........925.....7..6317.............6.49.....7..8.492,Constraint Programming Solver,13.6863ms,true
...........2.5....5...4.1.6.......8.7.8...32...456...9..1..2...39.....72...8.6...,Constraint Programming Solver,13.363ms,true
...........2.8...376.2.4.9..............5.1.7.7.3...29..............1.4.93.7.2861,Constraint Programming Solver,89.765ms,true
...........2.8...6..346..92.9............5..724...796................3.84695...2.,Constraint Programming Solver,16.6013ms,true
...........21..5..4..7.8.1....27..9663............9..8..4...85.29.......1.3..2..4,Constraint Programming Solver,13.7954ms,true
...........25.8..768.3..5..2.8..........34.......7...9....8.7....72..61..3..598..,Constraint Programming Solver,105.5276ms,true
...........27.8...4...23.8..45......8.......9.1..59.2...68.........1...3.3...7961,Constraint Programming Solver,13.4257ms,true
...........3...852.15.37..9..........7.19.4...38...1..........1...9.8...56..43.8.,Constraint Programming Solver,14.5383ms,true
...........3..2..7...756..2..........4.5....1.678.4.2..............3.8.9972....46,Constraint Programming Solver,13.9017ms,true
...........3.1..58.7.6..4.........75..1..5..69.7....84.8........6.4......357..69.,Constraint Programming Solver,13.1802ms,true
...........32....1.8....96......9.4...8...7.....1.4..5...........9...87451.4.7..6,Constraint Programming Solver,14.5754ms,true
...........4....3.7..3.6.2...5.2.41..........2.7.1..95.485..6.1..1....8..5.8.....,Constraint Programming Solver,14.3487ms,true
...........4...51..867....4....12.4..35.4.9.8........7..28.3....4........6.....9.,Constraint Programming Solver,14.92ms,true
...........4..3....2.91.4.6............32..1.95.....32.1...5..7..7....53..6.4....,Constraint Programming Solver,12.6046ms,true
...........4..8..6....5.24.............5...7....1.6592..9.4....2....16...463.271.,Constraint Programming Solver,13.0878ms,true
...........4..9.86..98..57......4.....85.....4....2.95........2..6.27.49.3..4.1..,Constraint Programming Solver,57.1088ms,true
...........4.3..........578..1..........9.35..7.2.56.1.4...3.8......71.3.92.84...,Constraint Programming Solver,13.0316ms,true
...........4.51.62.1.963........2.....9.8..2.73.5......6.........7....5.....148.3,Constraint Programming Solver,13.2775ms,true
...........4.7..8..7.25.3.............91.2...8.5..62.3..........37.4...9916....35,Constraint Programming Solver,13.5965ms,true
...........45....9..8.2.....23..8....7..9..1..5...14.........34.15..69.......5.7.,Constraint Programming Solver,15.2033ms,true
...........45...7..76.8...5.........1...68....29..47.........96.8.2......57.9..43,Constraint Programming Solver,14.0363ms,true
...........48....2.7891...........5......47..3....5628.............5.479.82.9...1,Constraint Programming Solver,67.3257ms,true
...........5....144.23...97.5........63..24...8..63.5......7.......8.....3..96.85,Constraint Programming Solver,15.448ms,true
...........5..1.944.368.15...73..245....4....342..56...61..45.295.2..4...........,Constraint Programming Solver,14.5172ms,true
...........5.1...68.1.7.4...5.2...........87.4....916..........7......931.352..8.,Constraint Programming Solver,13.8287ms,true
...........5.34.7.2...59..8..9..3..5.83.6.......1...2...........3..8...4..2..6153,Constraint Programming Solver,117.0962ms,true
...........52..1.7.14....56.9.......8....6.3...2.75.9..81.........4.1........724.,Constraint Programming Solver,76.0266ms,true
...........58..9...83..1.65..7..........6..13432.1...9.....8....5..2..3....6.54..,Constraint Programming Solver,14.0385ms,true
...........6...789.8....2.6.2..15..8...2......6..9.3.4..45.3..1...8.1...5......6.,Constraint Programming Solver,103.1241ms,true
...........6..21...38.7..5............9..6.2832.....41.......3...2.31..47...592..,Constraint Programming Solver,13.9354ms,true
...........6..273....841..6.27..9.........271.53..6..93......6...2..7......13....,Constraint Programming Solver,76.7967ms,true
...........6..4....315..7.2.....5........1..4.8.72..6.......1..6...5.3...5287...6,Constraint Programming Solver,16.5947ms,true
...........6.8.....1...4.3...876..1.2.....5.3..3..5..89.785........7...4....1.2..,Constraint Programming Solver,80.3111ms,true
...........62...89.9...7.4...8..457.523...........3...7..6.93....4.....11.5....2.,Constraint Programming Solver,13.379ms,true
...........63..7895.27....6..5......2....54.......18.......8..........671936.7...,Constraint Programming Solver,13.5894ms,true
...........7..6...6.925.....3.......2...3.1.59..7.4....4...9.6..8....3.....1278..,Constraint Programming Solver,14.5416ms,true
...........7..9..4.958.4.16.........3.9.6..2.6.8.5.17............6.78......1...69,Constraint Programming Solver,14.4616ms,true
...........7..9..86..12...4..8.......79..3.......16972................514.3..5..6,Constraint Programming Solver,12.3121ms,true
...........7.2..6.685..7..9...........9.1.6.327.4..1............4...8..6..17.6.54,Constraint Programming Solver,13.225ms,true
...........8....1.6...9.73......6...3.......2.2.4..579....15....3...7.2..72.68.9.,Constraint Programming Solver,85.0791ms,true
...........8.4...56...3.29..4...1.....1....89...25..34.............67.....65.9321,Constraint Programming Solver,13.524ms,true
...........84...1.2....97438..9.5.7.1.......4.6.8.4..29435....6.2...15...........,Constraint Programming Solver,13.9989ms,true
...........9....4.1...58.....68.3..........84.4..25..7.6...2....2.9.4.6..7....9.1,Constraint Programming Solver,13.4774ms,true
...........9...86537..8.2..43.6...2....374....5...2.38..4.9..76896...5...........,Constraint Programming Solver,15.3253ms,true
...........9..3.8..37..2.61........21.4......5....867......9.......1.4.3.4385....,Constraint Programming Solver,29.1156ms,true
...........9..4..2..1.5783...7.......8....52...49....8..........12..6.9....23.657,Constraint Programming Solver,11.896ms,true
...........9..4..77.6..98.11........2..9...3..9.....24....47.5....182..3..7...2..,Constraint Programming Solver,18.338ms,true
...........9..5.7...2.49.8.....9.....54..2....38...5.1...3....6.6..7..1434......7,Constraint Programming Solver,12.0423ms,true
...........9.4..82..86.741.........4.4......7.76..9..15...........9.1...3...2865.,Constraint Programming Solver,12.7457ms,true
...........96432.771......6.........1....28..45...93..........3....8.9...6.521...,Constraint Programming Solver,23.4435ms,true
..........1..6..85...82..79..........7..81.6.5.4..92.............7..5.91.81.4....,Constraint Programming Solver,15.6908ms,true
..........1..7..36...86..5.............9.6..74..5..861..5......37...4...2....7185,Constraint Programming Solver,12.2284ms,true
..........13.68...586.9..3.........2.......83.2.5..7.4...........14.6...4.7.35.1.,Constraint Programming Solver,26.5671ms,true
..........14.9.56...7542..1...96..3..2.....1..9..17...1..7849...78.2.34..........,Constraint Programming Solver,13.1956ms,true
..........178.9....5....492..............78...2..3.51..........8..745.2..39..6..5,Constraint Programming Solver,12.0364ms,true
..........2...18.49.6.4...2..16.892..6.....7..792.56..5...3.1.76.21...3..........,Constraint Programming Solver,13.352ms,true
..........2...953.....8521..6..4....1.2....4...529.3...........8....3.74...6...51,Constraint Programming Solver,12.2252ms,true
..........2..684...35.2..8.7.851....9.1...8.7....879.5.7..5.26...387..9..........,Constraint Programming Solver,21.6262ms,true
..........2..7.18.9.8....56..5.31.9.1..2.9..8.7.54.3..78....4.9.43.9..1..........,Constraint Programming Solver,11.9726ms,true
..........23..148.8...356......6..19..2......98..2......574...1.472..85..........,Constraint Programming Solver,12.1407ms,true
..........23.9....65....7.158.......13.....527...2.6.....5.......47..18.....1.4..,Constraint Programming Solver,11.9594ms,true
..........24..7.9.96......4....7..23..7..3....82..4............7...16.5.4.8.5.7.2,Constraint Programming Solver,12.4072ms,true
..........27...49.5..19..7...4.....2..2..3516.512.........6...3...5.......594....,Constraint Programming Solver,13.8647ms,true
..........27...96.1.8..4..............6...39..4.1.9..2.....54..4..3...1..1..78.36,Constraint Programming Solver,25.634ms,true
..........3...956..596.43.8..23...5.3...4...2.71..69..5.34.219..849...3..........,Constraint Programming Solver,11.9855ms,true
..........3..4.1...7..5..4...79..3.8...5..9..31...8...9....3...8.........64..18.3,Constraint Programming Solver,11.869ms,true
..........31..8.4.2..615.8........3...5.83.2...8...7.1.............34..954.9....7,Constraint Programming Solver,12.8872ms,true
..........316...8.4.2..19.5.....7..91.....8...5..8.7.......4.97....2....6...35..1,Constraint Programming Solver,12.856ms,true
..........361....2.41.56..8.....84.....79.6..9.4....15.....7..9.........5.2....4.,Constraint Programming Solver,12.1886ms,true
..........4..38..5.9..54.71.623..........583...8...1..7......4...92....66....9...,Constraint Programming Solver,11.9324ms,true
..........42..9.8.93.6....2.8.54....52.....18....86.9.1....7.64.6.1..52..........,Constraint Programming Solver,17.5001ms,true
..........49...3......94.8.........2.3...7.....81...7.6....58..41.3..6...5..4.123,Constraint Programming Solver,18.6217ms,true
..........5.....38...7956........9..278.....1...2.8.6..........58..1..2...7536...,Constraint Programming Solver,13.6481ms,true
..........5....9...8...7.56......4..72.3...8..6.7.4..54.39..8...76.2...1....3....,Constraint Programming Solver,12.3902ms,true
..........5..9.......1.7.8.4..2.....13...8..56.......37....184..9..6......2..3.7.,Constraint Programming Solver,11.9999ms,true
..........56..8.....3..7.61............259...7.8...9.2....9..1...7...8.9.32..57..,Constraint Programming Solver,12.4134ms,true
..........57.8.......13..6.6.8..2.4.....5.7...4..7..9..927.1.....6..4.........28.,Constraint Programming Solver,13.262ms,true
..........581...261247.....46.2..7......4......2..6.59.....537134...186..........,Constraint Programming Solver,12.0681ms,true
..........6.....3..918....4...............263.249.35.1..8........9.1...7...48735.,Constraint Programming Solver,11.9125ms,true
..........6....9..3...18.2...5..2.....6.7.4..2..3..671....9...7.531....6.2...7...,Constraint Programming Solver,12.1672ms,true
..........6...3.41.7...6.....51......4....8.78......39....9.28..9.32.......78.4..,Constraint Programming Solver,12.5484ms,true
..........65..8.1....395.28.........237.......5.9.1...5..........2.74.....86..4.7,Constraint Programming Solver,15.4327ms,true
..........67.3..413...51........43.....96...5.42..7..8.7......42........9...8.1.3,Constraint Programming Solver,12.5366ms,true
..........7.....8.4..5....3.....9....1...7.56..8..2139..6.....1.87....2.9.....3.5,Constraint Programming Solver,12.9359ms,true
..........7....5.685.19...............9....435.3..1.8.........2.42.736....8.19..4,Constraint Programming Solver,12.133ms,true
..........7...2..8.9.5..361..8.....2....59..4.37..4.9.1............4........16589,Constraint Programming Solver,12.0755ms,true
..........7...5..312..9..5......3......18..9.392.74........2...831.....5.5...8.7.,Constraint Programming Solver,11.9761ms,true
..........7..8.5.48.14....263.1..2...4.2.5.3...9..3.655....98.7..3.1..5..........,Constraint Programming Solver,18.0869ms,true
..........7.1.9..8.1.3.467.............4.7.89.3.5.......8.....3..463......691.5..,Constraint Programming Solver,12.5921ms,true
..........7.64...3.149..5..7..5.8..9..2...7..3..7.4..5..7..169.4...63.8..........,Constraint Programming Solver,12.8202ms,true
..........71..298....4...31....1.....9...7..6....8.3....2..3...64..7.2.5....5..4.,Constraint Programming Solver,11.8837ms,true
..........72..1..9..5..3627...6......9......421..98..6.........32........89..534.,Constraint Programming Solver,12.147ms,true
..........7895....5.346.9.7.....7..4.978..26.4..5.....9.6.425.1....9542..........,Constraint Programming Solver,12.1206ms,true
..........8...92...3...8.79...6..........7985....85..1........6..25...4.3..4..82.,Constraint Programming Solver,12.1173ms,true
..........8..4.93.2....6.71..8.61.9..7.....5..5.49.2..61.9....3.34.8..6..........,Constraint Programming Solver,16.6754ms,true
..........8.1.6.3.3..2...17..3..52.4.6.4.2......68....7..9..54...6....2..9....7..,Constraint Programming Solver,12.8142ms,true
..........8.4...2.243.798.................296..2345.8.....5...1.5....9..8....7.6.,Constraint Programming Solver,12.0713ms,true
..........8.5....9.7186...4...............9.52..384.....4........6..9.58.1.753.9.,Constraint Programming Solver,12.2255ms,true
..........8.9....2.67.45...........5....74......82.931...........5461...1...9.8.3,Constraint Programming Solver,12.1878ms,true
..........847...2...2.5.793....8......6..2..5.43..12.......9......6..4...5..1..89,Constraint Programming Solver,20.3707ms,true
..........9..1..5....92673.........86.4..2...28.6..3...........4.8.....29...34.71,Constraint Programming Solver,12.799ms,true
..........9..4.6.285.....93..........2..8...7.3..6481...........6..13..85.9....7.,Constraint Programming Solver,19.1322ms,true
..........9..475....7.2...3.23.....4...28.1.6.....5.329.5..1.....2.........7...81,Constraint Programming Solver,11.9622ms,true
..........9.4....3.852..7.4...8...5....627.1...8.9.2...5..48..6..1...5..7........,Constraint Programming Solver,12.1254ms,true
..........98...15...5.9234............9.4...2.63...81...........3.....9..4..79.38,Constraint Programming Solver,12.7347ms,true
..........9831...71......8..5..3.7......5.69..6.7...2..376....1..1...85......2...,Constraint Programming Solver,12.0374ms,true
.........1....8.9..42.67..8......7...7.5...462...41..3.....2.1..........63.....84,Constraint Programming Solver,12.2206ms,true
.........1...8.3.545...3..9...9.5.28.6...2.......6.....9.8.1.....5....7..2.7...6.,Constraint Programming Solver,12.0612ms,true
.........1..35.....2..7.84...1..6...6....82...481....7...4...2.....3.6...96....75,Constraint Programming Solver,12.1987ms,true
.........1.9.67...375....89..1.89.6...32.68...6.47.2..49....756...72.9.8.........,Constraint Programming Solver,15.6059ms,true
.........1.96.43..4..12....8...3.76..5.....3..92.5...8....49..3..73.54.6.........,Constraint Programming Solver,13.0081ms,true
.........12.....3.....24.5..9....6.8.3.5.8...67....3..8...15....6.9...213...4....,Constraint Programming Solver,20.1101ms,true
.........136......8.9.257....54.9...7..2.86.3...1.79....279.4.1......285.........,Constraint Programming Solver,11.9289ms,true
.........15.3...9...96.52.........2.....84..5.24.79.63..3..2.........5.4....5..8.,Constraint Programming Solver,12.142ms,true
.........1698...7...461........351..9.3...5.2..128........439...2...9417.........,Constraint Programming Solver,13.8814ms,true
.........17.34......5...8.4.....4..13.856..2..6...2.4..........83..5...99.....17.,Constraint Programming Solver,12.1863ms,true
.........2..97.8...641....3...........8...512.76.8......2..4.6..3.6.9....1.2..3..,Constraint Programming Solver,16.6957ms,true
.........2.3..651......543...437...23.6...7.15...193...251......175..8.4.........,Constraint Programming Solver,12.3579ms,true
.........24......6....39.5.......345..78.39..1..........25..7.1.7...2.63..6....8.,Constraint Programming Solver,12.1715ms,true
.........2459..6...6..1.4.9.31..7....7.....5....4..16.7.6.3..4...42.1793.........,Constraint Programming Solver,20.2643ms,true
.........27....6.3.96..578.....39.7..8...6.....9.....1..1....49..285..1........5.,Constraint Programming Solver,12.0603ms,true
.........274.6..8...6...93......365.4...7...2.124......68...2...4..2.579.........,Constraint Programming Solver,12.6666ms,true
.........3....947..5983...6..........18....69..57.1.4...........9..4.....2..53..8,Constraint Programming Solver,22.1066ms,true
.........3...7..8984...931...5381.7..1.....3..3.7.29...561...2427..6...8.........,Constraint Programming Solver,15.3607ms,true
.........3.158...9...7..4.3....6...1658..1......3..9.5...8.4.3.9.....7..1.6......,Constraint Programming Solver,11.9473ms,true
.........3.6..5..98...34..5.....68..9......52.2.39.....1..2...3..7......4.5.....8,Constraint Programming Solver,12.8407ms,true
.........328.....9..9...567.......2..3....7....465...8....4.....1.7....35.29.8...,Constraint Programming Solver,12.2675ms,true
.........36...5..97.58.41...19...5......4......7...28...14.27.66..9...38.........,Constraint Programming Solver,12.2537ms,true
.........38.....6.5.19..38.........2.6..1..9.94..8..35....7......4..6..8.7.3.....,Constraint Programming Solver,12.1313ms,true
.........39....728.....13.46.9.7...2.27.8.63.5...6.4.98.69.....932....81.........,Constraint Programming Solver,11.905ms,true
.........4......8683..56.....5.....3..4..2.699......7...........5..8314..8.12....,Constraint Programming Solver,11.9521ms,true
.........4....3...27.8...531.........3..96..8....4.3.7.......1.....6....3.81.9642,Constraint Programming Solver,17.8478ms,true
.........4...132...624..81............3..4...1.96...87....6..........3.9841..9.7.,Constraint Programming Solver,19.1345ms,true
.........4...7.628.....4.5.7..3..9....8......2....876....5.1....759..4......6...1,Constraint Programming Solver,11.9332ms,true
.........4..912.86...48.9.1.8..24.5..2.....4..4.36..1.2.8.37...36.245..7.........,Constraint Programming Solver,11.9434ms,true
.........4..92.....3.8...92.26..........73..57.1....8........41.7..349........657,Constraint Programming Solver,12.3732ms,true
.........4.1..5...39..176.5.........6...4.17..2.9....3........2.625.......3.76.4.,Constraint Programming Solver,11.8869ms,true
.........4.32..7..1627..5..5...4..2.6...9...4.9..2...6..7..6291..6..18.7.........,Constraint Programming Solver,13.3219ms,true
.........4.651.8...5...97...896.....3.2...5.7.....7.6...73...1...8.619.3.........,Constraint Programming Solver,20.687ms,true
.........42...5.....7..463...91....6.3.....5.6....91...917..8.....6...45.........,Constraint Programming Solver,20.6119ms,true
.........45..9...1..1.32..5.8.7...145.......361...8.7.7..58.4..1...6..92.........,Constraint Programming Solver,12.0644ms,true
.........5.....8...478..3.........41......9..83.1...6...4....7.1...2...5.6.713..4,Constraint Programming Solver,11.9401ms,true
.........5....7....8.62..1..43....9.9..83..2.15...6....2..9...7..4...9.8....6...3,Constraint Programming Solver,12.0346ms,true
.........5...9...3.9..62.7.......7.964........291.6..5........67....8.9..3.4..25.,Constraint Programming Solver,12.1053ms,true
.........5..4...7...89.3.4..2..4.8.....6......69.2....3.....65..9.812....4......2,Constraint Programming Solver,12.7772ms,true
.........5..7..6.4..39.5.8..9..7..3.72.3.1.49.4..8..2..5.6.78..9.7..8..5.........,Constraint Programming Solver,12.1354ms,true
.........532.6..9..895...31.9461....8.......3....8341.25...834..1..9.825.........,Constraint Programming Solver,12.6367ms,true
.........5671.....4...6.3.1..........59.1..6378..4..9.........9....2..47..38...5.,Constraint Programming Solver,18.4222ms,true
.........6....29.....86.523.....4.1..175.849..4.7.....285.97.....31....4.........,Constraint Programming Solver,12.2185ms,true
.........6...924...4...3.12.1....3.5....6....9.4....7.79.3...2...167...8.........,Constraint Programming Solver,22.143ms,true
.........6.2..1...71.526...46...9.13.27...95.19.3...27...613.82...8..1.4.........,Constraint Programming Solver,14.57ms,true
.........6.4.9....7.....8.1..1..7....423...9...5..12.4......6.....653.......1.42.,Constraint Programming Solver,11.9266ms,true
.........61..3...5......19........465...6.9..84.9.3..2...4....8.2..7..317...5....,Constraint Programming Solver,12.1379ms,true
.........614.8....85.63...1..8.94.2...........3.51.8..7...48.39....6.284.........,Constraint Programming Solver,21.1317ms,true
.........649........7.435.8276..9.....87.12.....4..7967.259.4........372.........,Constraint Programming Solver,11.9929ms,true
.........673.....2.2...718.....2...6....1..7..49........7.......3..5..2.....89517,Constraint Programming Solver,22.3926ms,true
.........7....521.1..6.3............813.9..4..9.....83.....9.........6.8257.3....,Constraint Programming Solver,16.6418ms,true
.........7...152..5...628.11..8.49.............42.7..59.618...7..857...6.........,Constraint Programming Solver,11.9522ms,true
.........7..54.3.8.8637..4...4.....96.5.....7....6.........2.........785.1..36...,Constraint Programming Solver,18.9457ms,true
.........7..632....34..8.....8....2......3..7..5.9..41........9....2.47..19.6.8..,Constraint Programming Solver,17.5193ms,true
.........7.9..4....62....1..........39..6..544...8.6.9..........38.7.......216.9.,Constraint Programming Solver,11.9688ms,true
.........7.9.2..868....9..36..4...2...1...3...2...5..95..3..2.446..7.1.8.........,Constraint Programming Solver,18.1001ms,true
.........71..4....94.6..7.5..1....5.527.3.614.6....2..4.6..8.92....5..48.........,Constraint Programming Solver,17.1575ms,true
.........714.....3...2..1.8.6..1.87...2.4.59..759.......9......34.........785....,Constraint Programming Solver,18.2444ms,true
.........72......1.46...5.7........3....63..94.87....6..........5.94..1.2173..8..,Constraint Programming Solver,11.964ms,true
.........72...9.5...1.3.2.9..451.9..5.......7..3.976..1.2.6.5...9.1...84.........,Constraint Programming Solver,12.2518ms,true
.........8......69....3712...........5.1....6.6..23491..4..9.....2....7.....7.3.8,Constraint Programming Solver,12.4662ms,true
.........8.....214....359............61.5...84...635..........1.9.3.6......87.459,Constraint Programming Solver,12.6957ms,true
.........8....9..46...5.2.1........3..8.76...1.....69......7....5.....6..394.8.15,Constraint Programming Solver,12.1248ms,true
.........8.7...1..3...6..78.....8...57.49..3..91.2.........6....25...9.76.4....5.,Constraint Programming Solver,11.8658ms,true
.........8.7..2.13.....56.......7.9.2...5....6..1.4.....87...561..3....2.3....4..,Constraint Programming Solver,19.9198ms,true
.........84...7..565..3.9......9378.....4....5..862.4...4............5123.....6..,Constraint Programming Solver,11.9023ms,true
.........853.9.7.....8.439...8..2.1..9.5.3.8..1.9..5...873.6.....5.7.134.........,Constraint Programming Solver,12.0575ms,true
.........87..........754..9...6.......9.8..3...1593........1.....2..849..14.7.6.3,Constraint Programming Solver,11.9478ms,true
.........9.....1.6..12..593....5..2....8......69.....8.8...7...756..9...2...1.65.,Constraint Programming Solver,28.6908ms,true
.........9.....1.7...718...2..........5.8...3..6.49.18.18.......6..3..74...9...3.,Constraint Programming Solver,12.7432ms,true
.........9..1..5.6..83..1...8.....4...4.8.......53.67...3741..2..5....97.........,Constraint Programming Solver,16.8597ms,true
.........9.124..67.7.51.8....8........7.5.49.56...............41.5..3..23..9.....,Constraint Programming Solver,12.0273ms,true
.........9.2..6.5..1.9..74............7..2.636.35...2...6.....7.8..9..1.3..1.....,Constraint Programming Solver,11.9797ms,true
.........92.7....5.765..82..........4...3..1.....9.387.....9.........7.2..728.43.,Constraint Programming Solver,14.6292ms,true
.........953..1.7...2.47.1.4...65..7.1..2..4.3..47...2.3.29.7...4.5..928.........,Constraint Programming Solver,12.8405ms,true
